                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    114,                0.82398,                0.56801,                  1.125,                0.79742,                0.62025,                0.71835,                0.43108,                 1.4283,                 1.1728,                 1.6466,              0.0012542,              0.0012542,              0.0012542
                    115,                0.82172,                0.55812,                  1.097,                0.69895,                0.69394,                0.70156,                 0.4156,                 1.4207,                 1.2062,                 1.7172,              0.0012476,              0.0012476,              0.0012476
                    116,                0.82314,                 0.5691,                 1.1237,                0.77378,                0.61154,                0.70701,                0.41801,                 1.5074,                 1.2567,                 1.7075,               0.001241,               0.001241,               0.001241
                    117,                0.81776,                0.55073,                 1.1031,                0.83886,                0.61524,                0.72526,                0.43862,                 1.4358,                 1.0788,                 1.6311,              0.0012344,              0.0012344,              0.0012344
                    118,                0.81492,                0.54944,                 1.1106,                0.76541,                0.66364,                0.70945,                0.42149,                 1.4806,                 1.0879,                 1.6744,              0.0012278,              0.0012278,              0.0012278
                    119,                0.80292,                0.54147,                 1.1099,                0.78042,                0.65152,                0.72307,                0.44104,                  1.398,                 1.1124,                 1.6288,              0.0012212,              0.0012212,              0.0012212
                    120,                0.78908,                 0.5479,                  1.108,                0.74198,                0.67101,                0.72904,                0.43637,                 1.4676,                 1.1439,                 1.6642,              0.0012146,              0.0012146,              0.0012146
                    121,                0.79344,                0.53773,                 1.1125,                0.65541,                0.68182,                0.69555,                0.42231,                 1.4479,                 1.1574,                 1.6703,               0.001208,               0.001208,               0.001208
                    122,                0.79304,                0.55674,                 1.1087,                0.70511,                0.63764,                0.70354,                0.42784,                 1.4756,                 1.3377,                 1.6508,              0.0012014,              0.0012014,              0.0012014
                    123,                0.75019,                0.51876,                 1.0794,                0.80639,                 0.5932,                0.69332,                0.41839,                 1.4791,                 1.2747,                 1.6585,              0.0011948,              0.0011948,              0.0011948
                    124,                0.80125,                0.53546,                 1.1123,                0.77351,                0.63939,                0.71194,                0.43666,                 1.4157,                 1.1272,                 1.6048,              0.0011882,              0.0011882,              0.0011882
                    125,                 0.7874,                0.53456,                 1.0934,                0.83998,                0.62036,                0.72979,                0.44615,                 1.4163,                 1.2343,                 1.6037,              0.0011816,              0.0011816,              0.0011816
                    126,                0.77043,                0.52508,                 1.0974,                0.74921,                0.63636,                0.70295,                0.41385,                 1.4919,                 1.2616,                 1.7146,               0.001175,               0.001175,               0.001175
                    127,                0.77832,                0.52402,                 1.0866,                0.75491,                0.65335,                0.71258,                0.40349,                 1.5452,                 1.2152,                 1.7617,              0.0011684,              0.0011684,              0.0011684
                    128,                0.76435,                0.53133,                 1.0983,                 0.7919,                0.61212,                 0.7198,                0.43458,                 1.4233,                 1.2475,                 1.6378,              0.0011618,              0.0011618,              0.0011618
                    129,                 0.7604,                0.52156,                 1.0701,                0.75585,                0.64242,                0.70914,                0.42384,                 1.4441,                 1.2619,                 1.6501,              0.0011552,              0.0011552,              0.0011552
                    130,                0.73687,                0.50465,                  1.056,                0.74346,                0.66744,                0.72749,                0.43885,                 1.4797,                 1.1879,                 1.6485,              0.0011486,              0.0011486,              0.0011486
                    131,                0.74875,                0.50785,                 1.0851,                 0.8061,                0.66767,                0.74023,                0.43233,                 1.4943,                 1.1364,                 1.6899,               0.001142,               0.001142,               0.001142
                    132,                0.74514,                0.51116,                 1.0832,                0.76312,                0.63333,                0.69889,                0.40749,                 1.5289,                 1.1717,                 1.7641,              0.0011354,              0.0011354,              0.0011354
                    133,                0.75494,                0.51208,                 1.0791,                0.71584,                0.63636,                0.68729,                0.40264,                 1.5251,                 1.2469,                 1.7381,              0.0011288,              0.0011288,              0.0011288
                    134,                0.71604,                0.49165,                 1.0584,                0.80108,                0.63458,                0.71558,                0.43078,                 1.4669,                 1.2079,                  1.715,              0.0011222,              0.0011222,              0.0011222
                    135,                0.74551,                0.51232,                 1.0765,                0.79815,                0.59091,                0.65595,                0.37856,                 1.5533,                 1.3586,                 1.7708,              0.0011156,              0.0011156,              0.0011156
                    136,                0.72823,                0.49119,                 1.0773,                0.82656,                0.64848,                0.73587,                0.44518,                 1.4137,                  1.133,                 1.6537,               0.001109,               0.001109,               0.001109
                    137,                0.75125,                0.50891,                 1.0715,                0.74194,                0.65342,                0.71598,                0.43273,                 1.4796,                 1.1859,                 1.6774,              0.0011024,              0.0011024,              0.0011024
                    138,                0.72035,                0.47925,                 1.0635,                0.76499,                0.66088,                 0.7122,                0.42117,                 1.4459,                 1.2862,                 1.6914,              0.0010958,              0.0010958,              0.0010958
                    139,                0.74788,                0.49286,                 1.0671,                0.72967,                0.64618,                0.70032,                 0.4165,                 1.5069,                 1.2286,                 1.7266,              0.0010892,              0.0010892,              0.0010892
                    140,                 0.7249,                0.50129,                  1.063,                  0.831,                0.60909,                0.70923,                0.42791,                 1.4549,                 1.3897,                 1.7106,              0.0010826,              0.0010826,              0.0010826
                    141,                0.75554,                 0.5273,                 1.0933,                0.71482,                0.67576,                0.69659,                0.42086,                 1.4239,                 1.1662,                 1.6688,               0.001076,               0.001076,               0.001076
