                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                 1.0729,                0.78164,                 1.1275,                0.80688,                0.50606,                  0.639,                0.37563,                 1.4625,                 1.3374,                 1.4503,              0.0015512,              0.0015512,              0.0015512
                     70,                 1.0172,                 0.7568,                 1.1005,                0.77334,                0.64545,                0.73236,                0.44093,                 1.4226,                 1.3009,                 1.3655,              0.0015446,              0.0015446,              0.0015446
                     71,                 1.0615,                 0.7737,                 1.1179,                0.73039,                0.56667,                0.63243,                0.37226,                 1.5421,                 1.3254,                 1.4732,               0.001538,               0.001538,               0.001538
                     72,                 1.0652,                0.77384,                 1.1137,                0.79163,                0.56411,                 0.6831,                0.40226,                 1.4714,                 1.2069,                 1.4012,              0.0015314,              0.0015314,              0.0015314
                     73,                 1.0474,                0.75477,                 1.1064,                0.79629,                0.64848,                 0.7352,                0.44898,                 1.3952,                 1.1392,                 1.3294,              0.0015248,              0.0015248,              0.0015248
                     74,                 1.0568,                0.73514,                 1.1094,                0.81768,                0.61515,                  0.714,                0.42877,                 1.4059,                 1.1257,                 1.3264,              0.0015182,              0.0015182,              0.0015182
                     75,                 1.0476,                 0.7167,                 1.0903,                0.59874,                0.58182,                0.59197,                0.35178,                 1.5086,                 1.4507,                 1.3995,              0.0015116,              0.0015116,              0.0015116
                     76,                 1.0407,                0.71846,                 1.0991,                0.74362,                 0.6504,                0.70672,                0.41199,                 1.4423,                  1.183,                 1.3943,               0.001505,               0.001505,               0.001505
                     77,                 1.0329,                0.72431,                  1.109,                 0.7807,                0.63648,                0.69632,                0.41749,                 1.4388,                 1.2066,                 1.3846,              0.0014984,              0.0014984,              0.0014984
                     78,                 1.0277,                 0.7189,                 1.1005,                0.72913,                0.57273,                0.64576,                0.38231,                  1.495,                 1.2385,                 1.4167,              0.0014918,              0.0014918,              0.0014918
                     79,                 1.0374,                0.72183,                 1.1001,                0.75388,                0.64545,                0.72097,                 0.4238,                 1.4353,                 1.1249,                  1.345,              0.0014852,              0.0014852,              0.0014852
                     80,                0.99158,                0.68357,                 1.0669,                0.68979,                0.63333,                0.68078,                 0.4117,                 1.4408,                 1.4087,                 1.4004,              0.0014786,              0.0014786,              0.0014786
                     81,                 1.0226,                0.69408,                 1.0864,                0.77942,                0.65455,                0.72194,                0.41584,                 1.4801,                 1.1791,                 1.4022,               0.001472,               0.001472,               0.001472
                     82,                 0.9915,                0.69023,                 1.0736,                0.78055,                0.68485,                0.75285,                0.45869,                 1.3577,                 1.2178,                 1.3639,              0.0014654,              0.0014654,              0.0014654
                     83,                0.98573,                0.69846,                 1.0695,                0.71601,                0.67999,                0.73282,                0.44258,                 1.4408,                 1.1521,                  1.404,              0.0014588,              0.0014588,              0.0014588
                     84,                0.96504,                0.68579,                 1.0626,                0.74141,                0.62557,                0.70918,                0.43569,                 1.4091,                 1.1523,                 1.3432,              0.0014522,              0.0014522,              0.0014522
                     85,                0.98068,                 0.6978,                 1.0776,                0.71815,                0.66403,                0.70959,                0.42772,                 1.4118,                 1.1303,                 1.3419,              0.0014456,              0.0014456,              0.0014456
                     86,                 1.0128,                0.69414,                 1.0817,                0.75463,                0.67576,                0.72238,                0.42312,                 1.4641,                 1.1727,                 1.3892,               0.001439,               0.001439,               0.001439
                     87,                  1.007,                0.70129,                 1.0657,                0.70255,                0.64416,                0.66529,                0.38969,                 1.5095,                 1.1908,                 1.4495,              0.0014324,              0.0014324,              0.0014324
                     88,                 1.0396,                0.71957,                 1.0854,                0.76075,                0.63333,                0.68567,                0.41054,                   1.47,                 1.3636,                 1.3978,              0.0014258,              0.0014258,              0.0014258
                     89,                0.96578,                0.69022,                 1.0675,                0.74639,                0.63939,                0.69769,                 0.4128,                 1.4379,                 1.2797,                 1.3695,              0.0014192,              0.0014192,              0.0014192
                     90,                0.99763,                0.67699,                 1.0867,                0.79717,                0.53636,                0.60858,                0.34621,                 1.5378,                 1.5223,                 1.4805,              0.0014126,              0.0014126,              0.0014126
                     91,                 1.0164,                0.69731,                 1.0827,                0.70853,                0.63939,                0.67696,                 0.3839,                 1.5601,                 1.1848,                 1.4978,               0.001406,               0.001406,               0.001406
                     92,                0.96223,                0.66404,                 1.0662,                0.72823,                0.66667,                  0.715,                0.42708,                 1.4457,                 1.0932,                 1.3589,              0.0013994,              0.0013994,              0.0013994
                     93,                0.97464,                0.66291,                 1.0757,                0.80437,                0.59091,                0.71261,                0.43265,                 1.4877,                 1.1601,                 1.3974,              0.0013928,              0.0013928,              0.0013928
                     94,                0.95169,                0.65143,                 1.0587,                0.77346,                0.65758,                0.71836,                0.42055,                 1.4651,                 1.1349,                 1.3838,              0.0013862,              0.0013862,              0.0013862
                     95,                0.94367,                 0.6455,                 1.0669,                0.73572,                  0.658,                0.72271,                 0.4356,                 1.4421,                 1.0749,                 1.3483,              0.0013796,              0.0013796,              0.0013796
                     96,                0.96232,                0.64585,                 1.0581,                0.74123,                0.65758,                0.72628,                0.43169,                 1.4365,                 1.0875,                 1.3406,               0.001373,               0.001373,               0.001373
                     97,                0.94275,                0.65454,                 1.0658,                0.77663,                0.66364,                0.74434,                0.45324,                 1.4289,                 1.1068,                 1.3464,              0.0013664,              0.0013664,              0.0013664
                     98,                0.99594,                0.67388,                 1.0696,                0.74371,                 0.6595,                0.73705,                0.45017,                 1.3492,                 1.0859,                 1.3079,              0.0013598,              0.0013598,              0.0013598
                     99,                0.95653,                0.64963,                 1.0673,                0.72167,                0.58928,                0.68333,                0.41462,                 1.4142,                 1.2211,                 1.3729,              0.0013532,              0.0013532,              0.0013532
                    100,                0.94478,                0.63849,                  1.051,                0.75205,                0.65455,                0.71454,                0.44116,                 1.3818,                 1.1125,                 1.3333,              0.0013466,              0.0013466,              0.0013466
                    101,                0.93835,                 0.6427,                 1.0581,                0.78286,                 0.6303,                0.70069,                0.40399,                 1.5157,                 1.1822,                  1.419,                0.00134,                0.00134,                0.00134
                    102,                0.95696,                  0.649,                 1.0582,                0.74363,                0.66364,                0.70753,                0.42268,                 1.4532,                 1.1187,                 1.3939,              0.0013334,              0.0013334,              0.0013334
                    103,                0.92533,                0.63626,                 1.0531,                0.77733,                0.66647,                0.73201,                0.44458,                   1.41,                 1.0906,                 1.3813,              0.0013268,              0.0013268,              0.0013268
                    104,                0.92335,                 0.6482,                 1.0494,                0.76283,                0.63333,                0.69977,                0.42798,                 1.4198,                 1.1206,                  1.377,              0.0013202,              0.0013202,              0.0013202
                    105,                0.92374,                0.64371,                  1.056,                0.77959,                0.62424,                0.70062,                0.42558,                 1.4336,                  1.133,                 1.4007,              0.0013136,              0.0013136,              0.0013136
                    106,                0.96552,                0.66815,                 1.0773,                0.72788,                0.61212,                0.67303,                 0.4029,                 1.4297,                 1.1308,                 1.3785,               0.001307,               0.001307,               0.001307
                    107,                0.94118,                0.63338,                 1.0478,                0.73818,                0.63939,                0.68822,                0.40811,                 1.4625,                 1.1135,                  1.373,              0.0013004,              0.0013004,              0.0013004
                    108,                0.93511,                0.62651,                 1.0446,                0.77547,                0.63636,                0.71634,                0.43752,                 1.4442,                 1.1053,                 1.3756,              0.0012938,              0.0012938,              0.0012938
                    109,                0.92151,                 0.6377,                 1.0451,                0.78299,                0.62121,                0.71296,                0.43536,                  1.487,                 1.2072,                 1.4066,              0.0012872,              0.0012872,              0.0012872
                    110,                0.91851,                0.62192,                 1.0378,                0.74092,                0.66364,                0.72192,                0.43003,                 1.4302,                 1.2172,                 1.4075,              0.0012806,              0.0012806,              0.0012806
                    111,                0.90977,                0.61382,                 1.0351,                0.85533,                0.58485,                0.73332,                0.45606,                 1.4063,                 1.1232,                 1.3457,               0.001274,               0.001274,               0.001274
                    112,                0.92064,                0.62988,                 1.0381,                0.77375,                0.63939,                 0.7376,                0.45759,                 1.4365,                 1.0522,                 1.3636,              0.0012674,              0.0012674,              0.0012674
                    113,                0.89588,                0.62742,                 1.0351,                 0.7688,                0.61467,                0.70706,                0.42077,                 1.4327,                 1.1333,                 1.3851,              0.0012608,              0.0012608,              0.0012608
                    114,                0.92283,                0.62659,                 1.0384,                0.78321,                0.61212,                 0.7069,                0.42797,                  1.425,                 1.1129,                 1.3884,              0.0012542,              0.0012542,              0.0012542
                    115,                0.91204,                0.61597,                  1.026,                0.80019,                 0.6303,                  0.708,                0.43344,                 1.4408,                 1.2589,                 1.3751,              0.0012476,              0.0012476,              0.0012476
                    116,                0.90655,                0.60642,                 1.0267,                0.77009,                0.65152,                0.73188,                0.45105,                 1.4225,                  1.245,                 1.3669,               0.001241,               0.001241,               0.001241
                    117,                0.90577,                0.60642,                  1.028,                0.82927,                0.59394,                0.70429,                0.43859,                 1.4486,                 1.2002,                 1.3692,              0.0012344,              0.0012344,              0.0012344
                    118,                0.91147,                0.61175,                  1.031,                0.83422,                 0.6252,                0.72741,                0.44901,                 1.4391,                 1.0956,                 1.3818,              0.0012278,              0.0012278,              0.0012278
                    119,                0.90525,                0.61773,                  1.046,                0.76693,                0.63816,                 0.7285,                0.44572,                 1.4411,                 1.0778,                 1.4171,              0.0012212,              0.0012212,              0.0012212
                    120,                0.88737,                0.61319,                 1.0311,                0.77876,                0.62934,                0.70711,                0.41945,                 1.4384,                 1.1361,                 1.3722,              0.0012146,              0.0012146,              0.0012146
                    121,                0.89827,                0.59595,                 1.0353,                0.76624,                0.65152,                0.72307,                0.44161,                 1.3945,                 1.1975,                 1.3386,               0.001208,               0.001208,               0.001208
                    122,                0.91401,                0.60721,                 1.0421,                0.75549,                0.68182,                 0.7422,                0.45042,                 1.3905,                 1.1021,                 1.3451,              0.0012014,              0.0012014,              0.0012014
                    123,                0.86877,                0.56721,                 1.0118,                0.75566,                0.59091,                0.64969,                0.39636,                 1.4944,                 1.2991,                 1.4285,              0.0011948,              0.0011948,              0.0011948
                    124,                0.89746,                0.59089,                 1.0309,                0.71283,                 0.6697,                0.72343,                0.43238,                 1.3998,                 1.1616,                 1.3564,              0.0011882,              0.0011882,              0.0011882
                    125,                 0.8725,                0.58434,                 1.0113,                0.76961,                0.62424,                0.70435,                0.43653,                 1.3828,                  1.181,                 1.3638,              0.0011816,              0.0011816,              0.0011816
                    126,                0.86996,                0.59106,                 1.0267,                0.74631,                0.60909,                0.68213,                0.42635,                 1.3702,                 1.1362,                 1.3542,               0.001175,               0.001175,               0.001175
                    127,                0.87605,                 0.5917,                 1.0143,                0.79524,                0.61818,                0.71589,                0.44587,                 1.3984,                 1.0821,                  1.352,              0.0011684,              0.0011684,              0.0011684
                    128,                 0.8804,                0.58918,                 1.0234,                0.76705,                0.66854,                0.71505,                0.43982,                 1.4454,                  1.213,                 1.3634,              0.0011618,              0.0011618,              0.0011618
                    129,                0.87539,                0.58076,                 1.0192,                0.73303,                0.66061,                0.72781,                0.44426,                  1.398,                 1.0714,                 1.3319,              0.0011552,              0.0011552,              0.0011552
                    130,                0.84504,                0.55746,                0.99511,                0.74809,                0.63939,                0.71358,                0.43913,                 1.4001,                 1.1158,                 1.3476,              0.0011486,              0.0011486,              0.0011486
                    131,                0.84801,                0.56469,                 1.0097,                0.79526,                0.64738,                0.72186,                0.45785,                 1.3638,                 1.2187,                 1.3193,               0.001142,               0.001142,               0.001142
                    132,                0.84583,                0.55398,                  1.008,                0.73667,                0.65455,                0.69681,                0.44672,                 1.3409,                 1.2791,                 1.3472,              0.0011354,              0.0011354,              0.0011354
                    133,                0.87276,                0.57474,                 1.0222,                0.78982,                0.67184,                0.73272,                0.45109,                   1.37,                 1.1116,                 1.3524,              0.0011288,              0.0011288,              0.0011288
                    134,                0.81952,                0.54913,                0.99667,                0.72932,                0.70909,                0.72946,                0.46505,                 1.3016,                 1.1159,                 1.2909,              0.0011222,              0.0011222,              0.0011222
                    135,                0.86181,                0.58128,                 1.0126,                0.80535,                0.65196,                0.74607,                0.47501,                 1.3648,                 1.1122,                  1.355,              0.0011156,              0.0011156,              0.0011156
                    136,                0.84192,                0.56243,                 1.0132,                0.73281,                0.67576,                0.73337,                0.46391,                 1.3588,                 1.1749,                 1.3478,               0.001109,               0.001109,               0.001109
                    137,                0.87018,                  0.582,                 1.0139,                0.78388,                0.63939,                0.72185,                0.46022,                 1.3339,                 1.1021,                 1.3386,              0.0011024,              0.0011024,              0.0011024
                    138,                0.83989,                 0.5524,                0.99757,                0.78109,                0.63333,                0.71476,                0.44207,                 1.3718,                 1.1915,                  1.368,              0.0010958,              0.0010958,              0.0010958
                    139,                0.85569,                0.55841,                 1.0033,                0.78166,                0.67576,                 0.7434,                0.47214,                 1.3442,                 1.0931,                 1.3429,              0.0010892,              0.0010892,              0.0010892
                    140,                0.83599,                0.55785,                 1.0014,                0.83805,                0.64293,                 0.7375,                 0.4598,                 1.4186,                 1.2618,                 1.4383,              0.0010826,              0.0010826,              0.0010826
                    141,                0.86266,                0.57566,                 1.0275,                0.78587,                 0.6673,                0.73619,                0.47581,                  1.339,                 1.1912,                 1.3347,               0.001076,               0.001076,               0.001076
                    142,                0.85163,                0.55914,                0.99936,                0.75397,                0.68788,                0.74141,                0.46636,                 1.3672,                 1.0683,                  1.345,              0.0010694,              0.0010694,              0.0010694
                    143,                0.84237,                0.55764,                 1.0103,                0.78595,                0.66061,                0.71986,                0.42444,                 1.4961,                  1.161,                 1.4709,              0.0010628,              0.0010628,              0.0010628
                    144,                0.83226,                0.55519,                 1.0078,                0.82907,                0.63333,                0.73507,                0.44592,                 1.4646,                 1.1115,                 1.3939,              0.0010562,              0.0010562,              0.0010562
                    145,                0.83593,                0.54281,                 1.0034,                 0.8093,                0.67576,                0.76329,                0.48401,                 1.3905,                 1.1513,                 1.3548,              0.0010496,              0.0010496,              0.0010496
                    146,                0.79789,                0.52774,                0.98024,                0.81544,                0.66943,                0.75439,                0.45354,                 1.4211,                 1.1794,                 1.4091,               0.001043,               0.001043,               0.001043
                    147,                0.83764,                0.55042,                 1.0025,                0.76756,                0.63333,                0.71693,                0.46003,                  1.359,                 1.0797,                 1.3525,              0.0010364,              0.0010364,              0.0010364
                    148,                0.80645,                0.52879,                0.99499,                0.72092,                0.66061,                0.69277,                0.44114,                 1.3538,                 1.1218,                 1.3584,              0.0010298,              0.0010298,              0.0010298
                    149,                 0.8251,                0.55027,                 1.0069,                0.73823,                0.65758,                0.71449,                0.43997,                 1.3975,                 1.0918,                 1.3759,              0.0010232,              0.0010232,              0.0010232
                    150,                0.84037,                0.55107,                 1.0039,                0.75321,                0.66061,                0.71561,                0.45524,                 1.3802,                 1.2598,                 1.3675,              0.0010166,              0.0010166,              0.0010166
