                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                0.96036,                0.67677,                 1.0896,                0.80303,                0.63008,                0.72254,                0.42842,                 1.4543,                 1.1672,                 1.4412,              0.0014852,              0.0014852,              0.0014852
                     80,                0.93595,                0.62967,                 1.0617,                0.79321,                0.63333,                0.72085,                0.43314,                 1.4898,                 1.1937,                 1.4801,              0.0014786,              0.0014786,              0.0014786
                     81,                0.94059,                0.63631,                 1.0601,                 0.7401,                0.67307,                0.72973,                0.44902,                 1.4002,                 1.0913,                 1.4054,               0.001472,               0.001472,               0.001472
                     82,                 0.9217,                0.63407,                 1.0548,                0.79119,                0.62003,                0.71136,                0.43094,                  1.461,                 1.1192,                 1.4358,              0.0014654,              0.0014654,              0.0014654
                     83,                 0.9335,                0.64592,                 1.0569,                0.80667,                0.64848,                0.74893,                0.45073,                  1.425,                 1.1087,                  1.373,              0.0014588,              0.0014588,              0.0014588
                     84,                0.90689,                0.62015,                  1.045,                0.74716,                0.63333,                0.71507,                0.43774,                 1.3845,                 1.0864,                  1.363,              0.0014522,              0.0014522,              0.0014522
                     85,                0.94329,                0.65509,                 1.0719,                0.77237,                0.64779,                0.70943,                0.43184,                 1.4662,                 1.2646,                 1.4382,              0.0014456,              0.0014456,              0.0014456
                     86,                0.91659,                0.63761,                 1.0623,                0.77888,                0.67248,                0.72996,                0.44784,                 1.4057,                  1.145,                 1.4066,               0.001439,               0.001439,               0.001439
                     87,                0.89926,                0.62049,                 1.0405,                0.77818,                 0.6303,                0.72516,                0.44037,                 1.4498,                 1.0717,                 1.4611,              0.0014324,              0.0014324,              0.0014324
                     88,                 0.9348,                 0.6359,                 1.0577,                0.73163,                0.64545,                0.69359,                0.42333,                 1.5043,                 1.2059,                  1.444,              0.0014258,              0.0014258,              0.0014258
                     89,                 0.8885,                0.61428,                 1.0424,                0.83447,                0.60909,                0.72035,                0.44275,                 1.3639,                 1.1959,                 1.3474,              0.0014192,              0.0014192,              0.0014192
                     90,                0.92829,                0.62576,                 1.0632,                0.80118,                0.65152,                 0.7393,                0.44087,                 1.3953,                  1.158,                  1.383,              0.0014126,              0.0014126,              0.0014126
                     91,                0.94085,                0.63809,                 1.0603,                0.73174,                0.64848,                0.71157,                0.41397,                 1.4974,                 1.1808,                 1.4865,               0.001406,               0.001406,               0.001406
                     92,                0.91352,                0.61763,                 1.0499,                0.78564,                0.67748,                0.73954,                0.42939,                 1.4689,                 1.1552,                 1.4433,              0.0013994,              0.0013994,              0.0013994
                     93,                0.91195,                0.62249,                 1.0587,                0.79542,                0.64802,                0.74955,                0.45518,                 1.3719,                 1.1519,                 1.3653,              0.0013928,              0.0013928,              0.0013928
                     94,                 0.8883,                0.60679,                 1.0462,                0.76924,                0.62121,                0.70669,                0.43247,                 1.4358,                 1.1648,                 1.3715,              0.0013862,              0.0013862,              0.0013862
                     95,                0.88391,                0.59587,                 1.0495,                0.75049,                0.58485,                0.65288,                0.38008,                 1.5221,                 1.2936,                 1.4584,              0.0013796,              0.0013796,              0.0013796
                     96,                0.89825,                0.59566,                 1.0493,                0.72216,                0.67273,                0.71634,                0.43601,                 1.4797,                 1.1399,                 1.4373,               0.001373,               0.001373,               0.001373
                     97,                0.88821,                0.61267,                 1.0543,                0.75706,                0.65158,                 0.7204,                0.43936,                 1.4463,                  1.165,                 1.4398,              0.0013664,              0.0013664,              0.0013664
                     98,                 0.9062,                0.60218,                 1.0407,                0.77664,                0.63219,                0.72294,                0.43654,                 1.4332,                  1.071,                 1.4027,              0.0013598,              0.0013598,              0.0013598
                     99,                0.88172,                0.59588,                 1.0391,                 0.7601,                0.64327,                0.71973,                0.41969,                 1.4755,                 1.1904,                 1.4789,              0.0013532,              0.0013532,              0.0013532
                    100,                 0.8908,                0.61098,                 1.0337,                0.74832,                0.58485,                 0.6664,                0.39796,                 1.4886,                 1.2598,                 1.4807,              0.0013466,              0.0013466,              0.0013466
                    101,                0.86975,                 0.5998,                 1.0337,                0.78448,                0.60909,                0.71876,                0.42892,                 1.4855,                 1.1288,                 1.4597,                0.00134,                0.00134,                0.00134
