                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                0.99323,                0.67515,                 1.1426,                0.73032,                 0.6697,                  0.719,                0.42703,                 1.4707,                 1.1044,                 1.5208,              0.0015116,              0.0015116,              0.0015116
                     76,                0.97767,                 0.6775,                 1.1474,                0.82036,                0.65042,                0.74013,                 0.4506,                 1.3938,                 1.1541,                 1.4639,               0.001505,               0.001505,               0.001505
                     77,                0.96212,                0.66054,                 1.1595,                0.81129,                0.66667,                0.74725,                0.45454,                 1.3636,                 1.0342,                  1.441,              0.0014984,              0.0014984,              0.0014984
                     78,                0.95242,                0.65916,                 1.1383,                0.77291,                0.59697,                0.69681,                0.41355,                 1.4685,                 1.2393,                 1.5255,              0.0014918,              0.0014918,              0.0014918
                     79,                0.93384,                0.65153,                 1.1262,                0.70493,                0.64242,                0.69858,                0.43107,                 1.3982,                 1.2537,                 1.4781,              0.0014852,              0.0014852,              0.0014852
                     80,                0.92678,                0.61961,                 1.0995,                0.80953,                0.64242,                0.73423,                0.44783,                 1.3926,                 1.1459,                 1.4706,              0.0014786,              0.0014786,              0.0014786
                     81,                0.91203,                0.62412,                 1.1029,                0.77179,                0.62424,                0.69604,                0.41931,                 1.4282,                 1.2204,                 1.5321,               0.001472,               0.001472,               0.001472
                     82,                0.90604,                0.63071,                 1.0981,                0.75198,                0.65758,                0.72765,                 0.4505,                 1.3874,                 1.1308,                 1.4672,              0.0014654,              0.0014654,              0.0014654
                     83,                0.89806,                0.64164,                 1.0954,                0.69231,                0.62728,                0.67593,                0.40254,                 1.4323,                  1.262,                 1.5209,              0.0014588,              0.0014588,              0.0014588
                     84,                0.88939,                0.61584,                 1.1011,                0.70469,                0.64358,                0.67705,                0.41784,                 1.3685,                 1.2071,                  1.467,              0.0014522,              0.0014522,              0.0014522
                     85,                0.91408,                0.63955,                 1.1265,                0.70056,                0.69697,                0.69857,                0.40109,                 1.4504,                 1.1901,                 1.5642,              0.0014456,              0.0014456,              0.0014456
                     86,                0.88407,                0.64092,                 1.1091,                0.79856,                0.60067,                0.67507,                0.40453,                 1.4544,                 1.2402,                 1.5596,               0.001439,               0.001439,               0.001439
                     87,                0.87398,                0.61583,                 1.0903,                0.79783,                0.63939,                0.72418,                0.45365,                 1.4041,                 1.1175,                 1.4795,              0.0014324,              0.0014324,              0.0014324
                     88,                0.87794,                0.61878,                 1.0866,                0.81726,                 0.6303,                0.71803,                0.44959,                 1.4471,                 1.1928,                  1.495,              0.0014258,              0.0014258,              0.0014258
                     89,                0.84731,                0.60442,                 1.0828,                0.82784,                0.65152,                0.74816,                0.46075,                 1.4235,                 1.1671,                 1.5243,              0.0014192,              0.0014192,              0.0014192
                     90,                0.88182,                 0.6203,                  1.107,                0.82497,                0.64271,                0.73205,                0.44069,                 1.4276,                 1.1913,                 1.5582,              0.0014126,              0.0014126,              0.0014126
                     91,                0.89026,                0.60537,                 1.1039,                 0.7813,                0.66061,                0.73296,                0.43912,                 1.4718,                 1.1001,                 1.5616,               0.001406,               0.001406,               0.001406
                     92,                0.85529,                 0.5934,                 1.0885,                 0.7838,                0.66061,                0.73577,                0.44033,                 1.4628,                 1.1216,                 1.5474,              0.0013994,              0.0013994,              0.0013994
